National_BMI_1985,Rural_BMI_1985,Urban_BMI_1985,National_BMI_2017,Rural_BMI_2017,Urban_BMI_2017,Country,Sex
20.2,19.7,22.4,22.8,22.5,23.6,Afghanistan,Men
20.6,20.1,23.2,24.4,23.6,26.3,Afghanistan,Women
25.2,25,25.4,27,26.9,27,Albania,Men
26,26.1,25.9,26,26.2,25.9,Albania,Women
22.1,21.8,22.3,25.1,24.8,25.2,Algeria,Men
24,23.3,24.8,27.4,27,27.5,Algeria,Women
33.7,32.6,34,34.3,34.6,34.2,American Samoa,Men
34.3,34.1,34.4,35.3,35,35.4,American Samoa,Women
25,25.3,25,26.8,26.8,26.8,Andorra,Men
25.2,25.4,25.2,25.3,25.2,25.3,Andorra,Women
20.5,20.2,21.4,22.6,22,23.2,Angola,Men
21.3,20.9,22.7,24.4,23.3,25.7,Angola,Women
23.6,23.2,24.2,26.2,26,26.7,Antigua and Barbuda,Men
24.5,24,25.4,28.1,28,28.5,Antigua and Barbuda,Women
25.2,24.3,25.4,27.8,26.9,27.9,Argentina,Men
24.3,23.3,24.5,27.3,27,27.3,Argentina,Women
23.4,22.8,23.7,25.7,25.3,25.8,Armenia,Men
25.4,25.2,25.5,27.1,27.5,26.8,Armenia,Women
25.3,25.6,25.3,27.5,27.9,27.5,Australia,Men
24.5,24.7,24.4,26.7,27.3,26.6,Australia,Women
24.4,24.7,24.2,26.7,27,26.6,Austria,Men
23.7,24.3,23.3,24,24.5,23.7,Austria,Women
24,23.6,24.3,26.2,26,26.4,Azerbaijan,Men
25.2,24.2,26,27.4,26.9,27.7,Azerbaijan,Women
24.1,23.3,24.3,26.7,26.1,26.8,Bahamas,Men
25.1,24,25.4,28.4,28,28.5,Bahamas,Women
24.3,23.7,24.4,27.7,27,27.7,Bahrain,Men
25.4,24,25.6,28.9,28.4,29,Bahrain,Women
19.4,18.8,21.8,21.6,21.1,22.4,Bangladesh,Men
18.2,17.7,20.6,22.5,21.7,23.9,Bangladesh,Women
24.2,24.1,24.5,26.5,26.4,26.5,Barbados,Men
27.1,26.8,27.7,29.4,29.5,29.3,Barbados,Women
24.7,24.7,24.7,26.5,26.2,26.6,Belarus,Men
26.2,26.7,25.8,26.4,27.3,26.1,Belarus,Women
24.8,25,24.8,26.4,26.4,26.4,Belgium,Men
24.8,25.1,24.8,25.4,25.3,25.4,Belgium,Women
24.9,24.4,25.4,27.6,27.3,27.9,Belize,Men
26.8,26.2,27.5,30.5,30.4,30.8,Belize,Women
20.7,20.3,21.7,22.7,22.1,23.4,Benin,Men
20.6,20.1,21.8,24.3,23.2,25.5,Benin,Women
24.3,NA,24.3,26.7,NA,26.7,Bermuda,Men
25.4,NA,25.4,28.5,NA,28.5,Bermuda,Women
20.6,20.3,23.1,23.5,23.1,24.2,Bhutan,Men
20.7,20.3,23,24.6,23.8,25.9,Bhutan,Women
23.3,22.9,23.6,26.1,25.3,26.5,Bolivia,Men
23.8,23,24.6,27.9,27,28.3,Bolivia,Women
24.9,24.8,25,26.8,26.7,26.8,Bosnia and Herzegovina,Men
25.5,25.7,25.1,25.7,26,25.3,Bosnia and Herzegovina,Women
20.6,20.3,21.4,22.6,21.9,23.2,Botswana,Men
24.2,23.7,25.6,26.2,25,27,Botswana,Women
23.3,22.2,23.7,26.2,25,26.4,Brazil,Men
24,23.1,24.4,26.9,26.4,26.9,Brazil,Women
24,23.7,24.2,27.1,26.6,27.2,Brunei Darussalam,Men
23.6,22.9,24,27.4,27,27.5,Brunei Darussalam,Women
25,24.9,25.1,27,27,27,Bulgaria,Men
25.2,25.5,25,25.6,26,25.5,Bulgaria,Women
20.2,20,21.4,22.2,21.8,23.1,Burkina Faso,Men
19.9,19.6,22,22.2,21.1,24.7,Burkina Faso,Women
20.2,20.1,21.2,22.1,22,23.2,Burundi,Men
19.6,19.5,21.7,21.1,20.7,24,Burundi,Women
21.4,20.9,22.3,23.6,22.7,24.1,Cabo Verde,Men
22.2,21.8,23.3,25.6,24.2,26.3,Cabo Verde,Women
19.8,19.7,20.6,22.1,21.9,22.9,Cambodia,Men
